Page #,Question #,Question Text,Answer
99,55,Who sang Move em out head em up head em up move em on,Frankie Lane Rawhide
99,57,Famous fictional character first appeared in Meet the Tiger 1928,Simon Templar Saint
99,58,What was the name of the old man in The Old Man and the Sea,Santiago
99,61,What fictional doctor employed a butler named Poole,Dr Jekyll
99,64,What screen cowboy rode Tony the Wonder Horse,Tom Mix
99,67,What was the second colour film to win best picture Oscar 1951,An American in Paris
99,68,What animal in The Jungle book is also a type of uncut velvet,Bagheera
99,69,Who was the US equivalent of Alf Garnet,Archie Bunker
99,77,France named it Chapeau Melon et Bottes de Cuir what UK,The Avengers
99,79,What was the first UK TV series filmed in colour 1964/5,Stingray - a puppet series
99,81,In the man from UNCLE who were their enemies,THRUSH
99,83,Joyce Frankenberg born 1951 changed her name to what,Jane Seymour
99,84,Nadsat was a made up language in what book and film,A Clockwork Orange
99,88,Norman Maine is a character in what remade twice film,A Star is Born
99,91,What eponymous Dickens character born with a caul over head,David Copperfield
100,3,What author wrote about Adrian Mole,Sue Townsend
100,11,Mickey Mouse's Pluto had what name when he first appeared,Rover
100,15,Who wrote The Hunchback of Notre Dame,Victor Hugo
100,17,Violetta Valery is better know as who in the world of opera,La Traviata - by Verdi
100,18,Sarah Jane Fulks - Anne Francis Bobbins both married who,Ronald Reagan J Wyman N Davis
100,27,In The Arabian Nights what was Ali Babas job,Woodcutter
100,33,The Indestructible Iron man fights against the Electronic Gang Hong Kong translation of what film,A View to a Kill
100,36,The brutal treatment of Billy Hayes was the inspiration what film,Midnight Express
100,38,Fritz Von Werra was the only German pilot WW2 to do what,Escape - The one that got away
100,41,Oscar winner was rejected as Honey Rider Dr No too small tits,Julie Christie – by Cubby Broccoli
100,43,J K Rowling wrote the Harry Potter series what do the JK mean,Joanne Kathleen
100,45,Mary Cathleen Collins changed her name to what,Bo Derek
100,46,Wesley Snipes and who starred in the film Money Train 1995,Woody Harrelson
100,47,In what Elvis film does he play a hillbilly garage hand,Loving You
101,52,In 1949 the Thought Police first appeared in what novel,1984 George Orwell
101,54,Who was born at Daisy Hill Puppy Farm,Snoopy – Peanuts
101,57,"What 1969 film last line Clint Eastwood ""I fall off em everywhere""",Where Eagles Dare
101,67,Marilyn Louis born 1922 changed her name to what star of 40s,Rhonda Fleming
101,70,Phil Collins played what character on the London stage 1960s,Artful Dodger
101,71,On the Omen series Damien was the devil - what second name,Thorne
101,74,What characters first appeared in Entertaining Young Gussie,Jeeves and Wooster
101,83,Richard Attenbourough what character in The Great Escape,Bartlett
101,84,What was superhero Green Lantern vulnerable to,Anything Yellow
101,86,Who played Dr McCoy in the original Star Trek series,Deforest Kelly
101,87,German film of the 1920s starred Max Schreck as a vampire,Nosferatu
101,94,In Ghandi who played the General caused massacre Amritsar,Edward Fox General Reginald Dyer
101,96,Film The Dead Heat Merry go Round 60s what stars first 1 line,Harrison Ford
102,3,Im Westen Nicht Neues what famous novel 20s later film,All Quiet on the Western Front
102,4,Anreas Cornelis van Kujik was who’s manager,Elvis Col Tom Parker
102,7,What aria from Madam Butterfly is a Michelle Pfeiffer 1996 film,One fine Day
102,11,In what film did Paul Robeson sing Old Man River,Showboat
102,14,What TV family lived at 1124 Morning Glory Circle Westport Con,Stevens in Bewitched
102,18,Kate Mulgrew plays who in a Gene Roddenbery based series,Capt Katherine Janeway Voyager
102,24,Daimants Sur Canape French translation of what film,Breakfast at Tiffanys
102,25,Tracy Marrow a former convict born 1958 changed name to what,Ice-T
102,28,"Broadway 59 music Ordinary Couple, Preludium, Processional",The Sound of Music
102,32,In fiction who's mother Monique Delacroix died when he was 11,James Bond
102,34,Salvatore A Lombino used Ewan Hunter what famous pen name,Ed McBain
102,39,Away we Go was the original 1942 title what musical show/film,Oaklahoma
102,47,Gene Kelly Michael York Joss Ackland all played who,D'Artagan
102,48,Who wrote The Last Frontier first published in 1959,Alistair Maclean
102,49,In what TV series did we see Del Floria tailors shop,The man from UNCLE
103,51,Glen Morris was the last Olympic gold medallist to do what 1938 Act,Tarzan in Tarzans Revenge 1938
103,57,George W Trendle and Fran Striker created what Western hero,The Lone Ranger
103,59,What musical was produced on London stage 30 years after film,Singing in the Rain Tommy Steel 1983
103,60,What was Vivian Leigh’s character won Oscar in her 30s,Blanche Dubois
103,66,What is Supergirls Kryptonian name,Kara
103,67,Name the hero Len Deightons Ipcress File and Funeral in Berlin,Not named in books Harry Palmer in films
103,68,Who commanded Bill Jukes Cecco Noodler Skylights Starkey,Captain Hook
103,70,Robert Brown M Caroline Bliss Moneypenny who was Bond,Timothy Dalton
103,73,Can you see Lenny Bruce E A Poe Karl Marx H G Wells etc,Sergeant Peppers
103,76,Who played by Luther Adler Roy Goldman Peter Sellers etc,Adolf Hitler
103,78,Anna Maria Louisa Italiano changed her name to what,Anne Bancroft
103,82,Paul French George E Dale pseudonyms for what SF author,Isaac Asimov
103,89,Who made his debut in a 1955 Warner Brothers cartoon,Speedy Gonzales
103,90,What is the English title of Voyna i Mir,War and Peace
103,91,The stuff that dreams are made off - last words in what film,The Maltese Falcon
103,95,What was the name of Alistair Macleans first best selling novel,HMS Ulysses
103,96,Name the superspy man from Z.O.W.I.E. played James Coburn,Our Man Flint
103,99,Who wrote the musical The Desert Song,Sigmund Romberg
104,6,William Hartnell was the first to play what TV character,Dr Who
104,7,"Who wrote the play "" What the Butler saw """,Joe Orton
104,28,Who directed Serpico,Sidney Lumet
104,32,Which Greek hero finally tamed Pegasus,Bellerophon
104,35,What character Tamed the Shrew in the Shakespeare play,Petrucchio
104,41,What author criticised evangelism in his novel Elmer Gantry,Sinclair Lewis
104,45,Who starred in Ceiling Zero as a pilot,James Cagney
105,51,Who would you expect to see in the Leftorium Ned Flanders shop,The Simpson's
105,56,In RKO movies what does RKO stand for,Radio Keith Orphium
105,60,The murder of Gonzago was performed in what Shakespeare play,Hamlet
105,69,Mickey Rooney made a series of films based on what family,Hardy family
105,78,Who wrote The Poseidon Adventure,Paul Gallico
105,80,Noel Coward gave what director his start on In Which we Serve,David Lean
105,93,What Shakespeare King was killed at Pontefract Castle,King Richard III
105,96,Who directed Spartacus and Lolita,Stanley Kubrick
105,99,In the Simpsons who is the godfather of the Springfield mafia,Don Vittorio
106,1,Who rode a horse called Phantom,Zorro
106,2,Who sang the theme song in the Bond film For Your Eyes Only,Shena Easton
106,3,What actor died during the filming of Gladiator,Oliver Reed
106,8,What film star role was played by over 48 different animals,Babe the Pig
106,13,What cartoon character was 5 foot 6 inches tall,Popeye
106,18,Name Elvis Presley's twin brother,Aaron
106,28,Who was offered and rejected the role of Indiana Jones,Tom Selleck too busy
107,56,Who wrote The Last Picture Show,Larry McMurty
107,57,Who was nicknamed The Bronx Bull,Jake LaMotta
107,63,Who played the role of Miss Hannigan in the film Annie,Carol Burnett
107,65,What kind of car was Kitt in Knight Rider,Pontiac Trans Am
107,66,In the first voyager program who were the Maquis fighting,The Cardassians
107,74,Who or what could win a Golden Clio award,Advertising film
107,77,Name Hopalong Cassidy's horse,Topper
107,81,Two villains first appear in Batman Comics 1 - Joker and who,Cat - Later called Catwoman
107,93,Name the Australian film about the pianist Halstadt,Shine
107,95,What actor began his career doing Doctor Pepper commercials,Bruce Willis
107,97,What kind of car was the General Lee in Dukes of Hazard,Dodge Charger
108,2,In Star Trek what is the name of Spock's father,Sarek
108,7,What actor is the spokesman for the National Rifle Association,Charlton Heston
108,11,In MASH who planted the vegetable garden,Father Mulcahy
108,14,What was Mae West sent to the workhouse for in 1926,"Writing starring in
play called sex"
108,16,What was the name of Juliet's cousin killed by Benvolio in R+J,Tynbalt
108,21,In the Superman comics name the shrunken city in a bottle,Kandor
108,24,What movie actor was (among other jobs) a bridge painter,Paul Hogan
108,31,In the Flintstones Dino was Fred's pet who was Barnie's,Hoppy
108,33,Roy Rogers girlfriend Dale Evans rode what named horse,Buttermilk
108,41,On ER what is the character name of Mark Greens daughter,Rachel
108,43,In what part of New York did the Great Gatsby live,West Egg
108,44,Name Merlin's owl in Disney's Sword in the Stone,Archimedes
108,48,What is Barbara Streisands middle name,Joan
109,52,Victor Buono played what Batman villain in the original series,King Tut
109,54,Actor was known as Singing Sandy (dubbed) early in career,John Wayne
109,62,In the Beverly Hillbillies what did Jethro get Jed for his birthday,Electric Pencil sharpener
109,64,Where did Hamlet send his girlfriend Ophelia,A Nunnery
109,65,What was the police chiefs name in the first two Jaws films,Martin Brody
109,72,Simpson's what was Homers nickname as baseball team mascot,Dancing Homer
109,74,Rhett Butler of Gone With the Wind was born where,Charleston
109,82,In Life of Brian what name does Stan want to be known as now,Loretta
109,83,Its all Greek to me comes from what Shakespeare play,Julius Caesar
109,84,What was the name of the high school in the movie Grease,Rydell
109,92,Happy Days was a spin off from what US TV show,Love American Style
109,94,HG Wells invisible man had what physical oddity,Albino
109,96,Measure for Measure deals with what contemporary theme,Angelo harasses Isabella sexually
110,5,Sol Sacs created what classic US TV show of the 60s 70s,Bewitched
110,9,How did Karmuala Searlel - an early Tarzan die,Mauled by Elephant
110,19,Rudolf Rasendil is the hero of what novel and film,The Prisoner of Zenda
110,24,Lil'folkes was the original name of what comic strip,Peanuts
110,38,G Roddenbery Star Trek 2 radical ideas Spock's Ears and what,Woman second in Command
110,48,Hotfoot Teddy was the original name of what icon,Smokey the Bear
111,55,Johnny Depp is afraid of what,Clowns
111,74,In Star Trek who would go to Sha Ka Ree,Vulcans it’s heaven
111,77,Name the Monkeys only film made in 1969,Head
111,84,Roschfort was a baddie in what book and (many) film versions,The Three Musketeers
111,85,James Doohan became famous playing what character,Montgomery Scott
111,86,Name Popeye's hungry friend,J Wellington Wimpy
111,88,November 18th is who's birthday,Mickey Mouse
111,97,What was the first daily comic strip in the USA,Mutt and Jeff
111,98,Review This show suspends all belief it will never work what ?,Original Star Trek
112,7,Name Elvis Presley's father,Vernon Presley
112,8,In what novel does Dr Hannibal Lecter first appear,Red Dragon
112,16,Liza Minelli played what character in Cabaret,Sally Bowles
112,17,Who wrote the scripts for Hill street Blues,Steven Bochco
112,25,Henri Charrier is better known by what nickname,Papillion – The Butterfly
112,28,Who was with Macbeth when he met the witches,Banquo
112,34,What was Oscar Wilde's only novel,The picture of Dorian Grey
112,35,What writer lived at hilltop near Hawkshead now museum to her,Beartrix Potter
112,37,Who is the Greek God of the sky and the universe,Uranus
112,41,Fallstaff first appears in what Shakespeare play,Henry IV part 1
112,44,In what film would you find The Orgasmitron,Woody Alan's Sleeper
112,48,Who wrote the book Coma,Robin Cook
113,58,Who first appeared on TV December 17th 1989,The Simpsons –
113,62,In the film Tommy who played The Acid Queen,Tina Turner
113,66,Bennie Hills Ernie fastest milkman in the west - name his horse,Trigger
113,72,Who first played Flash Gordon on film,Buster Crabbe
113,79,The annual Hackademy awards are given for what,Smoking in films
113,82,Who narrated Jeff Wayne's War of the Worlds,Richard Burton
113,87,Amanda by the Sea was a US version of what UK comedy show,Faulty Towers
113,89,According to psychologists the happiest people watch what TV,Soap Operas
113,94,In what film did Mary Poppins - Julie Andrews bare her nipples,S.O.B.
113,96,How was Tristram Shandy (fictional character) circumcised,A Sash window fell
114,2,Name the racehorse decapitated in the Godfather,Khartoum
114,16,Elizabeth Bennett is the central character in what novel,Pride and Prejudice
114,18,Edward Ricardo Braithwait wrote what novel,To Sir with Love
114,21,In 1887 who solved his first case,Sherlock Holmes
114,24,In what TV series did we meet Admiral Nelson,"Voyage to the bottom
of the sea"
114,28,Which US actor woke up when a elephant crapped on his head,William Shatner
114,44,What cartoon characters first name is Quincy,Mr Magoo
114,48,In the Terminator film who was the boy who would be the leader,John Conner – mother Sarah
115,75,Who used to do naked cartwheels to amuse the English settlers,Pocahontas
115,86,The character Marion Crane died in what film,Psycho in the shower
115,89,48 extras from what Oscar win film died within a year making it,Babe - all pigs
115,94,P L Travers created which famous character,Mary Poppins
116,13,Who wrote the novel The Seventh Scroll,Wilber Smith
116,14,The song Mack the Knife comes from what stage show,Threepenny Opera
116,27,What British author was offered £250000 to write book of ET,Jeffrey Archer
116,33,What was Lady Chatterlys first name,Constance
116,34,Enid Blyton character name changed to white beard for PC USA,Big Ears
116,47,British playwright wrote the screenplay for The French Lt Woman,Harold Pinter
117,63,What was Bogart's full characters name in Casablanca?,Rick Blain
117,68,What is Warren Beatty's first name?,Henry
118,4,The Perils of Penelope and Dastardly and Mutley spin offs what,Wacky Races
118,21,Jeri Ryan plays what character in the Star Trek series,Seven of nine in Voyager
118,23,Norma Talmage in 1927 made the first - the first what,Footprints concrete Grumman theatre
118,34,Los Pedernales is a Spanish translation what TV show,The Flintstones
119,67,Rocket USA is going to produce a wind up doll what figure,2002 Homer Simpson
119,95,"Who or what was ""strong to the finish""",Popeye - cos he eats his spinach
120,3,In what Dickens novel is there a case of spontaneous combustion,Bleak House
120,4,In the game Tomb Raider what's Lara Crofts profession,Archaeologist
120,10,Rod Taylor starred in a 1960 version of which HG Wells story,The Time Machine
120,11,Liam Devlin often appears in novels by which author,Jack Higgins
120,17,Which famous ship had a total crew numbering 430,Star ship Enterprise – Captain Kirks
120,19,Imperial Airways in 1925 was the first to do what,Show an in flight movie
120,20,And what was that movie,Conan Doyle's – The Lost World
120,31,Name Alfred Hitchcock's first sound film as director,Blackmail
120,33,Who does Adrian Mole lust after,Pandora
120,37,Who was killed in The Little Bastard,James Dean - his cars nickname
120,38,What character did Disney add to Winnie the Pooh not in books,Gopher
120,48,Hugh Lofting created which fictional character,Dr Dolittle
121,63,Bambi was the first Disney film without what,Human characters
121,65,Film character played by 4 people head body voice breathing,Darth Vader
121,69,Who played the alien in Predator jumping and climbing scenes,Jean-Claude Van Damme
121,85,Name the first film to have its sequel released in the same year,King Kong - Son of Kong
121,92,Name the first cartoon character made into a parade balloon,Felix the Cat
121,96,T H White wrote the book for which Disney animated feature,Sword in the Stone
122,1,The Windmills of your Mind was a theme song in what film,The Thomas Crown Affair
122,10,Ward Green wrote the story for which famous film,Lady and the Tramp
122,20,What Disney animated feature was the first with end credits,Alice in Wonderland
122,22,Name Stanley Kubrick's last film as director before his death,Eyes Wide Shut
122,26,What character first appeared in the film The Wise Little Hen,Donald Duck
122,27,And who was his original voice,Clarence Nash
122,37,Jodie Foster and Barbara Harris appeared in which Disney film,Freaky Friday
122,48,Marcellite Garner was the first voice for what Disney character,Minnie Mouse
123,56,Who is Harry Potters main enemy,Lord Voldemort
123,64,What Disney film was released on December 21st 1960,Swiss Family Robinson
123,67,Who plays Ali McBeal,Callista Flockhart
123,71,What was the first Bond film not to be titled from a Bond book,Licence to Kill
123,74,Where is the TV space alien ALF from,Melmac
123,82,In Kiplings Jungle Book Mang was what type of creature,Bat
123,84,What Bond film was entitled The Dead Slave in Japan,Live and let Die
123,88,What Disney character was voiced by Pinto Colvig,Sleepy
123,90,The Witches Curse alternative name which G&S operetta,Ruddigore
123,93,In Kiplings Jungle Book Ikki was what type of creature,Porcupine
123,95,What was Hitchcock's last film made in 1976,The Family Plot
123,98,Who was the first male to appear on the cover of Playboy,Peter Sellers
124,6,What TV show was set in Wentworth Detention Centre,Prisoner Cell Block H
124,8,Who voiced Mr Spock in the cartoon version of Star Trek,Leonard Nimoy
124,14,Which literary character lives at 4 Privet Road,Harry Potter
124,21,Suzy was a star of a 60s TV show what character did she play,Flipper the dolphin
124,28,In what film did the character Regan McNeil appear,The Exorcist
124,35,In 1901 Dr Dausand demonstrated what that never caught on,Silent Cinema – for the blind
124,41,Who links a western gambler and a private eye,"James Garner
Maverick Rockfort"
125,63,Who did Babe the pig work for,Farmer Hoggett
125,68,By what more common name do we know Major Boothroyd,Q in the Bond films
125,76,What's the only movie Alfred Hitchcock make twice,The man who knew too much
125,82,What famous film maker was first to use the close up,David Wark Griffith Birth of a Nation
125,89,In what case did Perry Mason make his first appearance,The case of the Velvet Claws
126,2,In which 1956 film did Elvis Presley make his debut,Love me Tender
126,6,Name the Indian version of Barbie,Monica
126,17,Name Disney's first film to win an Academy Award,Flowers and Trees
126,28,Who turned down the TV role of Doctor Kildare,William Shatner
126,31,There and back Again is an alternative title of which novel,The Hobbit
126,37,What traditional Maori insult was seen in the film Braveheart,Mooning
126,40,What was the first sport to be filmed,Boxing by Thomas Edison 1894
126,41,In the Tom and Jerry cartoons name the other mouse,Nibbles or Tuffy
126,47,Name Leonard Nimoy's autobiography,I am not Spock
126,48,The Stoner Case was a Sherlock Holmes play - later what story,The Speckled Band
127,62,In film who is the alter ego of Daniel Hillard?,Mrs Doubtfire
127,63,Who was the female star of Basic Instinct?,Sharon Stone
127,74,Name the first British film studio set up in the 1930s?,Pinewood Studios
127,75,In Hill Street Blues which character used to bite people?,Animal - Mick
127,82,"What Disney film features the song ""Give a little Whistle""?",Pinocchio
127,85,Gone to Texas by Forest Carter is the basis for what film?,The Outlaw Josey Wales
127,91,Thomas and Martha were the parents of which hero?,Batman
127,95,Who was the first woman to win an Academy Award?,Janet Gaynor 1929
127,99,Name Clint Eastwoods first film made in 1955?,Francis in the Navy (1955)
128,2,"In what series of books did The Empress of Blandings appear
a pig",Jeeves and Wooster
128,6,Who was the 1958 Cha-Cha champion of Hong Kong,Bruce Lee
128,7,Who directed the 1962 film Lawrence of Arabia,David Lean
128,20,In what book does Humpty Dumpty first appear,"Through the looking
Glass"
128,22,19-19-19 who's vital statistics,Olive Oyl
128,23,Name both families in Soap,Tates Campbells
128,26,In what stage show does Frank N Furter appear,"The Rocky Horror
Picture Show"
128,28,Gerald Thomas directed what series of films,Carry on Films
128,31,In the Saint series of books what is Inspector Teal's full name,Claude Eustace Teal
128,42,"Stage role, written for a man, took 80 years to be played by one",Peter Pan RSC 1982
128,44,Name the main horse in Animal Farm,Boxer
128,49,Who went to school at Hogwarts,Harry Potter
128,50,What was Pierce Brosnan's first James Bond film in 1995,Goldeneye
129,51,Who won the best actor award for Marty in 1955,Ernest Borgnine
129,52,Name Helen of Troys husband,Menelaus
129,54,Captain W E Johns invented which hero,Biggles
129,55,The Passion Play is performed every 10 years where,Oberammergau
129,56,What was the theme music to The Exorcist,Tubular Bells – Mike Oldfield
129,57,Who directed Full Metal Jacket,Stanley Kubrick
129,65,What sort of wood was Noah's Ark made from,Gopher wood
129,69,In what city was Handel's Messiah first performed,Dublin
129,72,In Norse mythology who was Odin's wife,Frigga
129,73,Six verified copies of his signature survive - who is he,William Shakespeare
129,76,Which musical stage show ( and film ) uses tunes by Borodin,Kismet
129,83,Beethoven's ninth symphony is nicknamed what,The Choral
129,84,In Spain St John Bosco is the Patron Saint of what,Cinema
129,91,George Lazenby played James Bond once in which film,On Her Majesty's Secret Service
129,95,Greek Myth Clotho spun Lachesis measured Atropos cut what,Thread of a mans life
129,98,Vivaldi's concertos Opus 8 Numbers 1-4 better known as what,The four Seasons
129,99,In Tarka the Otter what was Old Nog,A Heron
130,5,Who wrote Moon River used in Breakfast at Tiffanies,Henry Mancini
130,6,Name Stephen King's first published novel,Carrie
130,12,In the Harry Potter books what is Aragog,Chief Spider
130,13,Who wrote Goodbye Mr Chips,James Hilton
130,16,Sherlock Holmes paid 55 shillings for what,His Stradivarius violin
130,20,The musical Chu Chin Chow is based on what fable,Ali Baba and the forty
130,28,Who directed Star Trek films 3 and 4,Leonard Nimoy
130,30,In Shakespeare's Merchant of Venice name Shylocks wife,Leah
130,39,"What film began ""Most of what follows is true""",Butch Cassidy and the
130,47,Who was known in Germany as Der Bingle,Bing Crosby
130,49,Who's first play was The Room,Harold Pinter
130,50,What type of creature was Salar - that Tarka would like to eat,Salmon
131,53,Captain Macmorris only ever Irishman in what Shakespeare play,Henry V
131,61,Sir Wilfred is the real name of which eponymous character,Ivanhoe
131,63,The Daleks come from what planet,Skaro
131,64,Who was voted most popular film performer in the USA in 1926,Rin Tin-Tin
131,68,Madam Hooch teaches what at Hogwarts school,Quidditch
131,73,How did Dr Watson's first wife die,Diphtheria
131,78,What song did Rick ask Sam to play in Casablanca,As Time Goes By
131,81,In legend who killed the mobster Grendel,Beowulf
131,85,Name Hercule Poirot's valet,George
131,87,In mythology who slew the nine headed hydra,Hercules
131,89,In Gulliver's Travels name the flying island,Laputa
131,95,Who played Beau Geste in the 1939 film,Gary Cooper
131,97,In Animal Farm what was the name of the farm,Manor Farm
131,98,Who owned a chimp called Chee-Chee,Dr Dolittle
131,99,Who's directorial debut was with Reservoir Dogs,Quentin Tarantino
132,1,Odele and Odette appear in what Tchaikovsky ballet,Swan Lake
132,14,Who often solved a three pipe problem,Sherlock Holmes
132,18,Who was kidnapped in Robert Louis Stevenson's Kidnapped,David Balfour
132,21,In which Dickens novel does Little Nell appear,The Old Curiosity Shop
132,22,Name Harry Potters non magical cousin,Dudley Dursley
132,25,Where do boy scout leaders get their names from,The Jungle Book – Rudyard Kipling
132,30,What composer was the there of the 1947 film Song of Love,Johannes Brahms
132,35,Professor Kelp transformed into who,Buddy Love – Jerry Lewis Nutty Professor
132,46,Sissy Jupe adopted by Thomas Gradgrind which Dickens novel,Hard Times
132,49,Skimbleshanks was a T S Elliot cat what was his area,The Railway Cat
133,55,Who wrote the comic opera Robinson Crusoe,Offenbach
133,57,What sport featured in the 1980 film Breaking Away,Cycling
133,64,Who was Hiawatha's father,Mudjekeewis – The West Wind
133,75,When is Superman's birthday,29th February
133,82,Jim Bakus supplied the voice of which cartoon character,Mr Magoo
133,88,Catriona was a sequel to which famous novel,Kidnapped R L Stevenson
133,92,Unusual (for him) role Bogart play in The Return of Doctor X 1939,A Vampire
133,98,What song did Marilyn Munroe sing in the film Bus Stop,That Old Black Magic
134,1,What star sign is Harry Potter,Leo
134,3,In the USA it’s the Oscars what is it in France,Caesars
134,13,Ford Prefect came from a star in which constellation,Orion (Betelgeuse)
134,17,The author of Moll Flanders wrote which more famous work,Robinson Crusoe
134,21,What Shakespeare play Course true love never did run smooth,Midsummer Nights Dream
134,22,All my Yesterdays is which actors autobiography,Edward G Robinson
134,25,The Wheel Spins Ethel Lina White basis for what Hitchcock film,The Lady Vanishes
134,27,In Kiplings poem Gunga Din what job had Gunga Din,Water Carrier
134,29,Who is the boss of UNCLE,Mr Waverley
134,38,Whose horse was Black Nell,Wild Bill Hickoks
134,42,Name Ernest Hemmingway's book dealing with bullfighting,Fiesta
134,44,In the Wizard of Oz name the Good Witch of the North,Glinda
134,46,Who's first book was Pebble in the Sky,Isaac Asimov
135,52,Who played Louis Armstrong in 1954 film The Glen Miller Story,He played himself
135,54,In literature who lived at 7 Savile Row,Phileas Fogg
135,55,What is the only Shakespeare play that mentions America,The Comedy of Errors (Act III Scene ii)
135,58,Atlanta burned in Gone With the Wind was what old film set,King Kong  it needed clearing
135,63,In MASH what was the character Radars full name,Walter O'Reilly
135,68,Dr Deidrich Knickerbocker invented which famous character,Rip Van Winkle
135,71,Miss Lemon is what detectives confidential secretary,Hercule Poirot
135,72,Name Alice's pet cat,Dinah
135,77,In which film did Cliff Richard sing Living Doll in 1959,Serious Charge
135,80,Who wrote The female of the species more deadly than the male,Rudyard Kipling
135,83,Who recorded as Dib Cochran and the Earwigs,Marc Bolan and David Bowie
135,92,Pernell Roberts played which character in a TV western series,Adam Cartwright
135,95,Who was the runner up in the 1979 Le Mans 24 hour race,Paul Newman
135,96,Airman T E Shaw in WW2 was better known as who,T E Laurence of Arabia
135,100,In literature who married Mary Morstan,Dr John Watson
136,7,Who sang about Saturday Night at the Movies,The Drifters
136,26,Baptista is Katherine's father in which Shakespeare play,"The Taming of the
Shrew"
136,33,In Shakespeare Hamlet who is Ophelia's brother,Laertes
136,38,Mendelssohn's Wedding March comes from which work,"A Midsummer Nights
Dream"
136,45,Silent movie star Ben Turpin insured his what for $500000,His Squint
137,56,Who was Ben Hurs rival in the great chariot race,Messala
137,62,What's the name of the Bar Restaurant in the TV show Quincy,Danny's
137,63,In what Dickens novel does Alfred Jingle appear,The Pickwick Papers
137,71,Which magical city is located in the Valley of the Blue Moon,Shangri-La James Hilton Lost Horizon
137,73,Frank Oz was the voice of who,Miss Piggy in the Muppets
137,79,Captain Flint buried his treasure where ( Ben Gunn dug it up ),Skeleton Island
137,93,In Goldfinger name the actress painted gold,Shirley Eaton
137,97,Which country makes the most films per year,India
137,98,In what Puccini opera does Scarpia appear,Tosca
138,1,Who was Douglas Elton Ullman better known as,Douglas Fairbanks Senior
138,4,In The Dukes of Hazard who was the sheriff,Roscoe P Coltrane
138,11,Which writer created the detective Lord Peter Wimsey,Dorethy L Sayers
138,12,On the same subject who eventually married Lord Peter Wimsey,Harriot Vane
138,14,Yorick in Shakespeare's Hamlet had what job (when alive),Jester
138,17,Corporals Henshaw and Barbella report to which sergeant,Sergeant Bilko
138,21,Leslie Hornby became more famous as who,Twiggy
138,30,In what series of stories did Inspector Lestrade appear,Sherlock Holmes
138,36,Hercules performed twelve labours what was number seven,Capture of the Cretan Bull
138,43,Wings of Desire a foreign film remade as what with Nicolas Cage,City of Angels
138,44,Scooby Do is what breed of dog,Great Dane
139,70,Which fictional character lived at Montague street before moving,Sherlock Holmes
139,77,Name the raven in George Orwell's Animal Farm,Moses
139,83,What Gilbert & Sullivan operetta was subtitled Bunthorns Bride,Patience
140,5,Whose autobiography was called Tall Dark and Gruesome,Christopher Lee
140,10,John Tenniel drew the illustrations for what famous book,Alice in Wonderland
140,25,Sam Weller was whose servant in a Dickens book,Samuel Pickwick
140,41,What can you find on California's Mount Cook,Hollywood sign
140,46,Whose cases were Empty House Copper Beeches Black Peter,Sherlock Holmes
141,51,What was the name of the dog in Peter Pan,Nana
141,54,Who rode a horse called Lamri,King Arthur
141,68,In George Orwell's Animal Farm what type of animal was Muriel,The Goat
141,75,Shakespeare wrote Cruel only to be kind in what play,Hamlet
141,80,Which English King rode a horse called White Surrey,Richard III
141,82,Quilp (A Dwarf) is a character in which Dickens novel,The Old Curiosity Shop
141,88,Which countries leader was an extra in Hollywood,Fidel Castro
141,89,BOZ was the penname if which writer,Charles Dickens
141,94,Who wrote the play Androcles and the Lion,George Bernard Shaw
142,7,In which 1960 film did Elvis Presley play a mixed race character,Flaming Star
142,8,What profession had Lemual Gulliver when he was shipwrecked,Ships surgeon
142,11,Thomas Caneery writer Schlinders Ark comes from what country,Australia
142,17,What Shakespeare character ends saying The rest is Silence,Hamlet
142,18,Name John Huston's last film,The Dead
142,19,Who was the father of Icarus,Daedalus
142,34,What mythical beast is a cross between a lion and an eagle,Griffin
142,39,The half wit Smike appears in which Dickens novel,Nicholas Nickleby
142,43,Who wrote the book The Amazing Mr Ripley,Patricia Highsmith
142,49,Who is the Greek Goddess of witchcraft and black magic,Hecate
143,57,Who was the Christian missionary portrayed in Chariots of Fire,Eric Liddle
143,64,What children's character lived at Scatterbrook farm,Worzel Gummage
143,92,What star only began singing when she broke her leg,Doris Day was a dancer
143,93,What is Foghorn Leghorn's favourite song,Camptown Races
144,1,Who was the science advisor on the first Star Trek film,Isaac Asimov
144,10,In The Man with the Golden Gun name Scaramangas assistant,Nick Nack
144,15,In Animal Farm what kind of creature was Bluebell,A Dog
144,17,Which actor was born in Chiuhauha Mexico,Anthony Quinn
144,21,Casey Kasem was the original voice of what cartoon character,Shaggy on Scooby\nDoo
144,22,Who was Bette Midlers piano player before going solo,Barry Manilow
144,27,Which heroine comes from Amphipolis,Xena warrior princess
144,41,Who wrote Breakfast at Tiffany's,Truman Capote
144,43,Which actor/writer born 1939 has the first names John Marwood,John Cleese
144,46,Mary Pickford Charlie Chaplin and who founded United Artists,D W Griffith
144,47,What company did actor Brad Pitt model for,Levis
144,48,James Bond flew Little Nellie in which film,You Only Live Twice
145,61,Robin Goodfellow alternative name which Shakespeare character,Puck
145,63,Cindy Crawford Elle Macpherson and Madonna all done what,Appeared in Playboy
145,71,On what common object could you find a gate and a claw,Camera
145,81,"What actress said ""It's better to be nude than unemployed""",Angie Dickinson
145,85,Which 1954 film won eight Oscars,On the Waterfront
